generation;mean_p;mean_t;meanfrs;meanmrs;varp;vart;covpt;varfrs;varmrs;surviving_males;surviving_females;N;
95190;0.0325022;-0.104944;10;10.2835;0.00831855;0.00627114;-0.000128346;0;102.795;2432;2539;5000;
95200;0.0307427;-0.107392;10;9.74036;0.00836506;0.00680176;6.77355e-05;0;98.7524;2493;2476;5000;
95210;0.028632;-0.103693;9.52801;10.1003;0.00814777;0.00696837;-0.000104765;4.4971;97.1495;2484;2483;5000;
95220;0.0247926;-0.0946685;9.76057;9.71532;0.00839438;0.00665286;-7.22296e-05;2.33693;96.2702;2526;2446;5000;
95230;0.0220266;-0.0895307;10;10.3366;0.00762644;0.00613697;-2.14067e-05;0;105.442;2428;2549;5000;
95240;0.024879;-0.0920702;9.80846;9.71933;0.00753238;0.00675265;7.27188e-05;1.87872;98.157;2520;2458;5000;
95250;0.0294759;-0.0997988;10;9.91803;0.0072054;0.00764922;-0.000127199;0;104.17;2426;2541;5000;
95260;0.0277827;-0.094524;10;9.84258;0.00655806;0.00746329;2.66429e-05;0;98.5978;2469;2501;5000;
95270;0.0282077;-0.0887038;9.65968;9.66842;0.00670134;0.00722288;-0.000221596;3.28742;93.7032;2527;2441;5000;
95280;0.0301153;-0.0942382;10;10;0.00620187;0.00841624;0.000130666;0;100.158;2447;2528;5000;
95290;0.035928;-0.0896922;9.81154;10.1141;0.00651274;0.00786833;-8.08231e-05;1.84905;100.191;2471;2499;5000;
95300;0.0319637;-0.0946845;10;10.1307;0.00664613;0.00814449;4.91741e-05;0;104.143;2409;2557;5000;
95310;0.0219204;-0.0837942;9.94429;10.0483;0.00647141;0.00796383;8.34534e-05;0.553999;103.496;2469;2499;5000;
95320;0.0305532;-0.0850141;10;9.73828;0.00613564;0.00878621;0.000105685;0;103.017;2483;2493;5000;
95330;0.0261248;-0.0849882;9.84064;9.85542;0.00640043;0.0080206;0.000173979;1.56823;96.9269;2502;2470;5000;
95340;0.0255021;-0.0870199;9.95177;9.85669;0.00673273;0.00809361;0.000117627;0.479989;103.96;2492;2476;5000;
95350;0.0209504;-0.084753;10;9.84927;0.00666437;0.00792685;-0.000339581;0;102.635;2489;2483;5000;
95360;0.0255224;-0.0940601;9.9162;9.96391;0.00689883;0.00871502;-5.79137e-05;0.830967;99.6378;2488;2485;5000;
95370;0.0343253;-0.0867698;10;9.98024;0.00659618;0.00787104;-6.66856e-05;0;108.771;2434;2526;5000;
95380;0.0351988;-0.0876363;10;9.76899;0.0067298;0.00773511;0.00029583;0;99.8292;2478;2495;5000;
95390;0.0389527;-0.0835851;10;9.65153;0.00684858;0.00795683;-1.94579e-05;0;98.5082;2511;2465;5000;
95400;0.0417072;-0.0818071;9.91732;10.2398;0.00641498;0.0080524;-0.000248298;0.819936;107.788;2450;2519;5000;
95410;0.0402844;-0.0771559;9.77093;9.89465;0.00582595;0.00799469;0.000144199;2.23821;99.6648;2501;2474;5000;
95420;0.0439733;-0.0765797;9.94843;10.117;0.00560078;0.00800293;-9.92856e-06;0.513009;99.5829;2458;2508;5000;
95430;0.042687;-0.0696893;9.90902;10.1335;0.00556353;0.00720333;-1.86342e-05;0.901533;101.155;2471;2505;5000;
95440;0.0424971;-0.0594816;10;10.0278;0.00587733;0.00742589;-1.59788e-05;0;107.493;2442;2529;5000;
95450;0.0235787;-0.0601023;9.88395;9.86805;0.00679945;0.00824217;-0.000120783;1.147;98.863;2502;2470;5000;
95460;0.0334267;-0.0591959;9.90476;10.0645;0.00652542;0.00895149;0.000100197;0.943311;105.076;2474;2496;5000;
95470;0.0309377;-0.0600358;9.97594;9.92817;0.00614594;0.00813114;-6.95591e-05;0.239999;104.544;2491;2488;5000;
95480;0.0303599;-0.0588624;10;9.83084;0.00653618;0.00816113;-0.000143539;0;100.247;2481;2499;5000;
95490;0.0290799;-0.0649908;9.95668;10.2722;0.00676432;0.00791872;0.000132779;0.431364;102.283;2454;2528;5000;
95500;0.0339122;-0.0714557;9.868;9.84;0.00672083;0.00786795;0.000284676;1.30258;101.814;2509;2467;5000;
95510;0.0376549;-0.0685127;10;10.3262;0.00599817;0.00722271;-0.000115032;0;109.881;2408;2564;5000;
95520;0.0340268;-0.0718074;10;9.94892;0.00697823;0.00786148;0.000244186;0;102.512;2444;2532;5000;
95530;0.0323956;-0.0692662;9.7721;9.99593;0.00697584;0.00776874;2.4247e-05;2.22704;101.466;2486;2487;5000;
95540;0.0321341;-0.0726862;9.99197;9.92029;0.00667061;0.00750844;-0.000126096;0.0802246;100.113;2482;2489;5000;
95550;0.0298444;-0.073344;10;9.66862;0.00691791;0.00737157;5.70762e-05;0;98.8765;2498;2480;5000;
95560;0.0266669;-0.076659;9.68983;9.91031;0.00708557;0.00767497;-5.09668e-05;3.00548;105.74;2501;2468;5000;
95570;0.0228396;-0.0723207;9.939;9.61826;0.00761714;0.0065809;-2.21537e-05;0.606283;95.604;2532;2444;5000;
95580;0.0180627;-0.0664111;10;9.96046;0.00742606;0.00703424;-0.000152953;0;101.699;2456;2519;5000;
95590;0.0197248;-0.0667417;9.87089;10.2987;0.00767633;0.00813673;-3.67212e-05;1.27441;100.852;2450;2523;5000;
95600;0.0208404;-0.0673408;9.90934;10.2071;0.00787391;0.00796208;8.6584e-05;0.898364;104.91;2461;2514;5000;
95610;0.0247623;-0.0594112;10;9.94835;0.00729886;0.00808094;-0.000136725;0;97.1368;2462;2504;5000;
95620;0.0225203;-0.0604666;9.94323;9.6764;0.00748535;0.00818855;-7.62859e-05;0.564498;97.3696;2515;2452;5000;
95630;0.0180523;-0.064071;10;10.2552;0.00780218;0.00818157;-4.0624e-05;0;103.418;2442;2532;5000;
95640;0.021352;-0.0771699;9.988;9.98001;0.00785706;0.00858288;8.63553e-05;0.119904;101.839;2468;2496;5000;
95650;0.0253705;-0.0788927;9.72484;9.86971;0.00771842;0.00776817;7.14759e-05;2.67586;99.3316;2496;2474;5000;
95660;0.0215942;-0.0864276;9.95652;10.1984;0.00876042;0.00840567;-0.000106694;0.432892;103.483;2441;2519;5000;
95670;0.0191699;-0.0922179;10;10.2462;0.00825927;0.00790909;0.00035413;0;104.822;2424;2539;5000;
95680;0.0125967;-0.0974431;9.94821;10.0281;0.00917155;0.00815655;5.20547e-05;0.515246;100.12;2468;2497;5000;
95690;0.0160227;-0.0981209;9.54186;9.55024;0.00983582;0.00848696;4.96238e-05;4.37147;95.7053;2549;2416;5000;
95700;0.014746;-0.0999212;9.92013;9.95192;0.00979826;0.00916906;-9.31816e-06;0.792342;95.5906;2479;2484;5000;
95710;0.0100476;-0.102296;9.66706;9.92235;0.0109332;0.00823284;0.000186846;3.21857;101.383;2495;2468;5000;
95720;0.013356;-0.0959352;9.80792;9.78009;0.0112951;0.00852013;4.04957e-05;1.88387;94.9936;2506;2451;5000;
95730;0.0121757;-0.103245;10;9.77344;0.0108141;0.00840922;0.000191777;0;104.714;2463;2502;5000;
95740;0.0115388;-0.10265;9.97568;9.71575;0.0109898;0.00835155;-2.49491e-05;0.242619;95.7739;2504;2461;5000;
95750;-0.0028592;-0.104132;10;10.012;0.0120241;0.00740861;-4.50513e-05;0;103.8;2459;2503;5000;
95760;0.0101067;-0.104547;10;9.92846;0.0123772;0.00728569;4.41897e-05;0;99.4384;2476;2498;5000;
95770;0.0156126;-0.10075;9.92098;10.1701;0.0111188;0.00683133;0.000186199;0.783957;101.308;2454;2511;5000;
95780;0.00964675;-0.102975;9.82031;10.25;0.0100278;0.00687718;-5.03856e-05;1.76459;99.8965;2455;2514;5000;
95790;0.0104204;-0.109714;9.89336;10.1499;0.00902819;0.00791423;-9.12812e-05;1.05498;101.072;2462;2505;5000;
95800;0.00727279;-0.110896;9.88741;9.78512;0.00964345;0.00775966;1.77957e-05;1.11318;99.5161;2500;2459;5000;
95810;0.00775585;-0.111159;10;9.8424;0.0102566;0.00813182;0.000129814;0;104.23;2474;2498;5000;
95820;-0.000624677;-0.105335;9.89654;10;0.010469;0.00876174;-2.03914e-06;1.02392;101.246;2476;2487;5000;
95830;-0.000429528;-0.102108;10;9.9529;0.0103859;0.00815293;-0.000359627;0;105.414;2429;2536;5000;
95840;0.000596991;-0.102371;9.94876;10.2477;0.0101533;0.00795569;-3.21974e-05;0.509791;98.883;2438;2524;5000;
95850;0.00297509;-0.102457;10;9.77479;0.00956032;0.00758785;0.000222575;0;92.4424;2484;2474;5000;
95860;0.00587325;-0.105694;9.89992;9.88409;0.00922474;0.00755514;7.47041e-05;0.990785;102.505;2486;2473;5000;
95870;0.00551917;-0.105884;9.8865;9.6289;0.00821434;0.00729968;8.96475e-05;1.1221;98.0857;2527;2439;5000;
95880;0.00441115;-0.104106;10;9.96443;0.00958775;0.00700781;8.35174e-05;0;99.4058;2449;2521;5000;
95890;0.00258831;-0.107856;9.88386;9.85617;0.00903528;0.00681678;-0.000212379;1.14791;100.099;2504;2468;5000;
95900;0.000393631;-0.110108;9.93646;10.0806;0.00912016;0.00707131;0.000179903;0.631387;97.4149;2467;2502;5000;
95910;0.00179063;-0.112836;9.76423;9.37402;0.00902653;0.00730273;-0.000211608;2.30213;93.6633;2562;2402;5000;
95920;0.00566141;-0.112085;9.99199;9.96006;0.0090506;0.00648229;0.000162779;0.080064;98.7204;2467;2494;5000;
95930;0.00209641;-0.108834;9.71049;9.49861;0.00854333;0.00688638;-3.89225e-05;2.81124;89.4422;2539;2415;5000;
95940;0.0102621;-0.111277;9.82079;9.8634;0.00790728;0.00723774;-0.000136969;1.76;103.075;2501;2466;5000;
95950;0.00756419;-0.107339;10;9.75791;0.00832383;0.00667476;6.85979e-05;0;100.371;2475;2499;5000;
95960;0.00371391;-0.113216;9.97601;9.98399;0.00853802;0.00729196;-0.00010471;0.239328;103.321;2468;2495;5000;
95970;-0.00312757;-0.115488;9.90358;9.81681;0.0071523;0.00755837;-5.808e-05;0.954945;97.6964;2500;2465;5000;
95980;0.000777804;-0.119795;9.83254;9.88764;0.00688849;0.00699265;-0.000117862;1.6466;101.753;2493;2466;5000;
95990;-0.000156442;-0.12402;9.92283;9.62569;0.00685489;0.00690867;7.4923e-05;0.765775;96.432;2526;2443;5000;
96000;0.000797954;-0.125471;9.77651;9.43285;0.00659934;0.00742754;0.000234778;2.18492;91.8406;2552;2406;5000;
96010;0.00271421;-0.124302;10;9.75562;0.00712647;0.00643183;5.71549e-05;0;97.5359;2488;2475;5000;
96020;0.00706613;-0.123765;9.988;9.98001;0.00741505;0.00669303;0.000243303;0.119904;102.239;2469;2496;5000;
96030;0.000785879;-0.11659;10;9.96407;0.00712538;0.00616928;-0.000192165;0;97.843;2472;2496;5000;
96040;0.00142542;-0.11898;9.76753;9.99594;0.00749104;0.00630666;3.75507e-06;2.27062;98.5784;2482;2479;5000;
96050;0.0091958;-0.125155;10;10.1973;0.00739862;0.00627629;-0.000117374;0;102.377;2438;2532;5000;
